field_1,X,Y
"16779",4.708,52.371
"16780",4.722,52.371
"16781",4.736,52.37
"16782",4.75,52.369
"16783",4.764,52.368
"16784",4.778,52.368
"16785",4.792,52.367
"16786",4.806,52.366
"16787",4.82,52.366
"16788",4.834,52.365
"16789",4.849,52.364
"16790",4.863,52.363
"16791",4.877,52.363
"16792",4.891,52.362
"16793",4.905,52.361
"16794",4.919,52.36
"16795",4.933,52.36
"16796",4.947,52.359
"16797",4.961,52.358
"16798",4.975,52.357
"16799",4.989,52.357
"16800",5.003,52.356
"16943",4.665,52.365
"16944",4.679,52.364
"16945",4.693,52.363
"16946",4.707,52.363
"16947",4.721,52.362
"16948",4.735,52.361
"16949",4.749,52.361
"16950",4.763,52.36
"16951",4.777,52.359
"16952",4.791,52.358
"16953",4.805,52.358
"16954",4.819,52.357
"16955",4.833,52.356
"16956",4.847,52.356
"16957",4.861,52.355
"16958",4.875,52.354
"16959",4.889,52.353
"16960",4.904,52.353
"16961",4.918,52.352
"16962",4.932,52.351
"16963",4.946,52.35
"16964",4.96,52.35
"16965",4.974,52.349
"16966",4.988,52.348
"16967",5.002,52.347
"16968",5.016,52.347
"16969",5.03,52.346
"17111",4.664,52.356
"17112",4.678,52.356
"17113",4.692,52.355
"17114",4.706,52.354
"17115",4.72,52.353
"17116",4.734,52.353
"17117",4.748,52.352
"17118",4.762,52.351
"17119",4.776,52.351
"17120",4.79,52.35
"17121",4.804,52.349
"17122",4.818,52.348
"17123",4.832,52.348
"17124",4.846,52.347
"17125",4.86,52.346
"17126",4.874,52.345
"17127",4.888,52.345
"17128",4.902,52.344
"17129",4.916,52.343
"17130",4.93,52.343
"17131",4.944,52.342
"17132",4.958,52.341
"17133",4.972,52.34
"17134",4.987,52.34
"17135",5.001,52.339
"17136",5.015,52.338
"17137",5.029,52.337
"17138",5.043,52.337
"17139",5.057,52.336
"17140",5.071,52.335
"17141",5.085,52.334
"17142",5.099,52.333
"17275",4.662,52.348
"17276",4.676,52.347
"17277",4.691,52.346
"17278",4.705,52.346
"17279",4.719,52.345
"17280",4.733,52.344
"17281",4.747,52.343
"17282",4.761,52.343
"17283",4.775,52.342
"17284",4.789,52.341
"17285",4.803,52.341
"17286",4.817,52.34
"17287",4.831,52.339
"17288",4.845,52.338
"17289",4.859,52.338
"17290",4.873,52.337
"17291",4.887,52.336
"17292",4.901,52.335
"17293",4.915,52.335
"17294",4.929,52.334
"17295",4.943,52.333
"17296",4.957,52.332
"17297",4.971,52.332
"17298",4.985,52.331
"17299",4.999,52.33
"17300",5.013,52.329
"17301",5.027,52.329
"17302",5.041,52.328
"17303",5.055,52.327
"17304",5.069,52.326
"17305",5.084,52.326
"17306",5.098,52.325
"17439",4.661,52.339
"17440",4.675,52.338
"17441",4.689,52.338
"17442",4.703,52.337
"17443",4.717,52.336
"17444",4.731,52.336
"17445",4.746,52.335
"17446",4.76,52.334
"17447",4.774,52.333
"17448",4.788,52.333
"17449",4.802,52.332
"17450",4.816,52.331
"17451",4.83,52.33
"17452",4.844,52.33
"17453",4.858,52.329
"17454",4.872,52.328
"17455",4.886,52.328
"17456",4.9,52.327
"17457",4.914,52.326
"17458",4.928,52.325
"17459",4.942,52.325
"17460",4.956,52.324
"17461",4.97,52.323
"17462",4.984,52.322
"17463",4.998,52.322
"17464",5.012,52.321
"17465",5.026,52.32
"17466",5.04,52.319
"17467",5.054,52.319
"17468",5.068,52.318
"17469",5.082,52.317
"17470",5.096,52.316
"17608",4.66,52.33
"17609",4.674,52.33
"17610",4.688,52.329
"17611",4.702,52.328
"17612",4.716,52.328
"17613",4.73,52.327
"17614",4.744,52.326
"17615",4.758,52.325
"17616",4.772,52.325
"17617",4.786,52.324
"17618",4.8,52.323
"17619",4.815,52.323
"17620",4.829,52.322
"17621",4.843,52.321
"17622",4.857,52.32
"17623",4.871,52.32
"17624",4.885,52.319
"17625",4.899,52.318
"17626",4.913,52.317
"17627",4.927,52.317
"17628",4.941,52.316
"17629",4.955,52.315
"17630",4.969,52.315
"17631",4.983,52.314
"17632",4.997,52.313
"17633",5.011,52.312
"17634",5.025,52.311
"17635",5.039,52.311
"17636",5.053,52.31
"17637",5.067,52.309
"17638",5.081,52.308
"17639",5.095,52.308
"17782",4.659,52.322
"17783",4.673,52.321
"17784",4.687,52.32
"17785",4.701,52.32
"17786",4.715,52.319
"17787",4.729,52.318
"17788",4.743,52.318
"17789",4.757,52.317
"17790",4.771,52.316
"17791",4.785,52.315
"17792",4.799,52.315
"17793",4.813,52.314
"17794",4.827,52.313
"17795",4.841,52.313
"17796",4.855,52.312
"17797",4.869,52.311
"17798",4.883,52.31
"17799",4.897,52.31
"17800",4.912,52.309
"17801",4.926,52.308
"17802",4.94,52.307
"17803",4.954,52.307
"17804",4.968,52.306
"17805",4.982,52.305
"17806",4.996,52.304
"17807",5.01,52.304
"17808",5.024,52.303
"17809",5.038,52.302
"17810",5.052,52.301
"17811",5.066,52.301
"17812",5.08,52.3
"17813",5.094,52.299
"17814",5.108,52.298
"17952",4.658,52.313
"17953",4.672,52.313
"17954",4.686,52.312
"17955",4.7,52.311
"17956",4.714,52.31
"17957",4.728,52.31
"17958",4.742,52.309
"17959",4.756,52.308
"17960",4.77,52.308
"17961",4.784,52.307
"17962",4.798,52.306
"17963",4.812,52.305
"17964",4.826,52.305
"17965",4.84,52.304
"17966",4.854,52.303
"17967",4.868,52.302
"17968",4.882,52.302
"17969",4.896,52.301
"17970",4.91,52.3
"17971",4.924,52.3
"17972",4.938,52.299
"17973",4.952,52.298
"17974",4.966,52.297
"17975",4.98,52.297
"17976",4.994,52.296
"17977",5.008,52.295
"17978",5.022,52.294
"17979",5.036,52.294
"17980",5.05,52.293
"17981",5.065,52.292
"17982",5.079,52.291
"17983",5.093,52.291
"17984",5.107,52.29
"18118",4.657,52.305
"18119",4.671,52.304
"18120",4.685,52.303
"18121",4.699,52.303
"18122",4.713,52.302
"18123",4.727,52.301
"18124",4.741,52.3
"18125",4.755,52.3
"18126",4.769,52.299
"18127",4.783,52.298
"18128",4.797,52.298
"18129",4.811,52.297
"18130",4.825,52.296
"18131",4.839,52.295
"18132",4.853,52.295
"18133",4.867,52.294
"18134",4.881,52.293
"18135",4.895,52.292
"18136",4.909,52.292
"18137",4.923,52.291
"18138",4.937,52.29
"18139",4.951,52.289
"18140",4.965,52.289
"18141",4.979,52.288
"18142",4.993,52.287
"18143",5.007,52.286
"18144",5.021,52.286
"18145",5.035,52.285
"18146",5.049,52.284
"18147",5.063,52.283
"18148",5.077,52.283
"18149",5.091,52.282
"18150",5.105,52.281
"18287",4.656,52.296
"18288",4.67,52.295
"18289",4.684,52.295
"18290",4.698,52.294
"18291",4.712,52.293
"18292",4.726,52.293
"18293",4.74,52.292
"18294",4.754,52.291
"18295",4.768,52.29
"18296",4.782,52.29
"18297",4.796,52.289
"18298",4.81,52.288
"18299",4.824,52.287
"18300",4.838,52.287
"18301",4.852,52.286
"18302",4.866,52.285
"18303",4.88,52.285
"18304",4.894,52.284
"18305",4.908,52.283
"18306",4.922,52.282
"18307",4.936,52.282
"18308",4.95,52.281
